CMR,Africa,Cameroon,2.6545864E7,18.8,3364.926,1.3,59.29
IMN,Europe,Isle of Man,85032.0,"","","",81.4
SVN,Europe,Slovenia,2078932.0,44.5,31400.84,4.5,81.32
GMB,Africa,Gambia,2416664.0,17.5,1561.767,1.1,62.05
MNP,Oceania,Northern Mariana Islands,57557.0,"","","",76.74
"","",International,"","","","",""
SLB,Oceania,Solomon Islands,686878.0,20.8,2205.923,1.4,73.0
BDI,Africa,Burundi,1.1890781E7,17.5,702.225,0.8,61.58
AGO,Africa,Angola,3.2866268E7,16.8,5819.495,"",61.15
SGP,Asia,Singapore,5850343.0,42.4,85535.383,2.4,83.62
HND,North America,Honduras,9904608.0,24.9,4541.795,0.7,75.27
MSR,North America,Montserrat,4999.0,"","","",74.16
CPV,Africa,Cape Verde,555988.0,25.7,6222.554,2.1,72.98
DJI,Africa,Djibouti,988002.0,25.4,2705.406,1.4,67.11
COL,South America,Colombia,5.0882884E7,32.2,13254.949,1.71,77.29
HRV,Europe,Croatia,4105268.0,44.0,22669.797,5.54,78.49
SYR,Asia,Syria,1.7500657E7,21.7,"",1.5,72.7
FRO,Europe,Faeroe Islands,48865.0,"","","",80.67
GNQ,Africa,Equatorial Guinea,1402985.0,22.4,22604.873,2.1,58.74
MEX,North America,Mexico,1.28932753E8,29.3,17336.469,1.38,75.05
PAK,Asia,Pakistan,2.20892331E8,23.5,5034.708,0.6,67.27
PSE,Asia,Palestine,5101416.0,20.4,4449.898,"",74.05
UZB,Asia,Uzbekistan,3.3469199E7,28.2,6253.104,4.0,71.72
MUS,Africa,Mauritius,1271767.0,37.4,20292.745,3.4,74.99
QAT,Asia,Qatar,2881060.0,31.9,116935.6,1.2,80.23
SSD,Africa,South Sudan,1.1193729E7,19.2,1569.888,"",57.85
JOR,Asia,Jordan,1.020314E7,23.2,8337.49,1.4,74.53
THA,Asia,Thailand,6.9799978E7,40.1,16277.671,2.1,77.15
SLV,North America,El Salvador,6486201.0,27.6,7292.458,1.3,73.32
BLZ,North America,Belize,397621.0,25.0,7824.362,1.3,74.62
IRQ,Asia,Iraq,4.0222503E7,20.0,15663.986,1.4,70.6
LSO,Africa,Lesotho,2142252.0,22.2,2851.153,"",54.33
CAN,North America,Canada,3.7742157E7,41.4,44017.591,2.5,82.43
VNM,Asia,Vietnam,9.7338583E7,32.6,6171.884,2.6,75.4
BRA,South America,Brazil,2.12559409E8,33.5,14103.452,2.2,75.88
RWA,Africa,Rwanda,1.2952209E7,20.3,1854.211,"",69.02
CAF,Africa,Central African Republic,4829764.0,18.3,661.24,1.0,53.28
KNA,North America,Saint Kitts and Nevis,53192.0,"",24654.385,2.3,76.23
GRD,North America,Grenada,112519.0,29.4,13593.877,3.7,72.4
LIE,Europe,Liechtenstein,38137.0,"","",2.397,82.49
ERI,Africa,Eritrea,3546427.0,19.3,1510.459,0.7,66.32
TJK,Asia,Tajikistan,9537642.0,23.3,2896.913,4.8,71.1
GEO,Asia,Georgia,3989175.0,38.7,9745.079,2.6,73.77
ZAF,Africa,South Africa,5.930869E7,27.3,12294.876,2.32,64.13
SAU,Asia,Saudi Arabia,3.4813867E7,31.9,49045.411,2.7,75.13
GHA,Africa,Ghana,3.1072945E7,21.1,4227.63,0.9,64.07
PRI,North America,Puerto Rico,2860840.0,38.2,35044.67,"",80.1
GIB,Europe,Gibraltar,33691.0,"","","",79.93
LTU,Europe,Lithuania,2722291.0,43.5,29524.265,6.56,75.93
AFG,Asia,Afghanistan,3.8928341E7,18.6,1803.987,0.5,64.83
OWID_KOS,Europe,Kosovo,1932774.0,"",9795.834,"",""
AUT,Europe,Austria,9006400.0,44.4,45436.686,7.37,81.54
DNK,Europe,Denmark,5792203.0,42.3,46682.515,2.5,80.9
EST,Europe,Estonia,1326539.0,42.7,29481.252,4.69,78.74
BHS,North America,Bahamas,393248.0,34.3,27717.847,2.9,73.92
BWA,Africa,Botswana,2351625.0,25.8,15807.374,1.8,69.59
ETH,Africa,Ethiopia,1.14963583E8,19.8,1729.927,0.3,66.6
OMN,Asia,Oman,5106622.0,30.7,37960.709,1.6,77.86
NLD,Europe,Netherlands,1.7134873E7,43.2,48472.545,3.32,82.28
URY,South America,Uruguay,3473727.0,35.6,20551.409,2.8,77.91
ECU,South America,Ecuador,1.764306E7,28.1,10581.936,1.5,77.01
TUR,Asia,Turkey,8.4339067E7,31.6,25129.341,2.81,77.69
GAB,Africa,Gabon,2225728.0,23.1,16562.413,6.3,66.47
MDA,Europe,Moldova,4033963.0,37.6,5189.972,5.8,71.9
TCD,Africa,Chad,1.6425859E7,16.7,1768.153,"",54.24
CIV,Africa,Cote d'Ivoire,2.6378275E7,18.7,3601.006,"",57.78
DEU,Europe,Germany,8.3783945E7,46.6,45229.245,8.0,81.33
MNG,Asia,Mongolia,3278292.0,28.6,11840.846,7.0,69.87
SRB,Europe,Serbia,6804596.0,41.2,14048.881,5.609,76.0
SWE,Europe,Sweden,1.009927E7,41.0,46949.283,2.22,82.8
BGR,Europe,Bulgaria,6948445.0,44.7,18563.307,7.454,75.05
BRN,Asia,Brunei,437483.0,32.4,71809.251,2.7,75.86
CYM,North America,Cayman Islands,65720.0,"",49903.029,"",83.92
NIC,North America,Nicaragua,6624554.0,27.3,5321.444,0.9,74.48
NOR,Europe,Norway,5421242.0,39.7,64800.057,3.6,82.4
ARE,Asia,United Arab Emirates,9890400.0,34.0,67293.483,1.2,77.97
KEN,Africa,Kenya,5.37713E7,20.0,2993.028,1.4,66.7
ALB,Europe,Albania,2877800.0,38.0,11803.431,2.89,78.57
CUW,North America,Curacao,164100.0,41.7,"","",78.88
GTM,North America,Guatemala,1.7915567E7,22.9,7423.808,0.6,74.3
ISL,Europe,Iceland,341250.0,37.3,46482.958,2.91,82.99
SOM,Africa,Somalia,1.5893219E7,16.8,"",0.9,57.4
COM,Africa,Comoros,869595.0,20.4,1413.89,2.2,64.32
ITA,Europe,Italy,6.0461828E7,47.9,35220.084,3.18,83.51
VAT,Europe,Vatican,809.0,"","","",75.12
ESP,Europe,Spain,4.6754783E7,45.5,34272.36,2.97,83.56
IDN,Asia,Indonesia,2.73523621E8,29.3,11188.744,1.04,71.72
DZA,Africa,Algeria,4.3851043E7,29.1,13913.839,1.9,76.88
NCL,Oceania,New Caledonia,285491.0,33.4,"","",77.55
HUN,Europe,Hungary,9660350.0,43.4,26777.561,7.02,76.88
GIN,Africa,Guinea,1.3132792E7,19.0,1998.926,0.3,61.6
LBY,Africa,Libya,6871287.0,29.0,17881.509,3.7,72.91
MNE,Europe,Montenegro,628062.0,39.1,16409.288,3.861,76.88
VCT,North America,Saint Vincent and the Grenadines,110947.0,31.8,10727.146,2.6,72.53
TZA,Africa,Tanzania,5.9734213E7,17.7,2683.304,0.7,65.46
BRB,North America,Barbados,287371.0,39.8,16978.068,5.8,79.19
KGZ,Asia,Kyrgyzstan,6524191.0,26.3,3393.474,4.5,71.45
PAN,North America,Panama,4314768.0,29.7,22267.037,2.3,78.51
CHL,South America,Chile,1.9116209E7,35.4,22767.037,2.11,80.18
CZE,Europe,Czech Republic,1.0708982E7,43.3,32605.906,6.63,79.38
CYP,Europe,Cyprus,875899.0,37.3,32415.132,3.4,80.98
TGO,Africa,Togo,8278737.0,19.4,1429.813,0.7,61.04
AUS,Oceania,Australia,2.5499881E7,37.9,44648.71,3.84,83.44
KOR,Asia,South Korea,5.1269183E7,43.4,35938.374,12.27,83.03
PHL,Asia,Philippines,1.09581085E8,25.2,7599.188,1.0,71.23
SWZ,Africa,Swaziland,1160164.0,21.5,7738.975,2.1,60.19
GRL,North America,Greenland,56772.0,"","","",71.7
TCA,North America,Turks and Caicos Islands,38718.0,"","","",80.22
